policyid,customerid,premium,avgclaimamount,tenure,date
PLY-594,0198,2599,321214,5,2018-08-14
PLY-595,0198,3087,493235,5,2018-06-10
PLY-596,0199,4496,443430,5,2016-09-26
PLY-597,0199,2227,356721,5,2017-08-28
PLY-598,0199,3161,448485,5,2018-02-18
PLY-599,0200,4662,342258,5,2015-01-17
PLY-600,0200,2551,491355,5,2017-08-06
PLY-601,0200,2545,375515,5,2018-04-12
PLY-602,0201,3822,414683,5,2018-03-18
PLY-603,0201,2539,305594,5,2017-09-10
PLY-604,0201,3414,437530,5,2017-02-24
PLY-605,0202,3316,302226,5,2018-05-13
PLY-606,0202,3829,490438,5,2017-10-29
PLY-607,0202,2785,361833,5,2015-12-21
PLY-608,0203,3859,308943,5,2017-07-31
PLY-609,0203,2382,492939,5,2016-07-30
PLY-610,0203,2055,336450,5,2016-05-05
PLY-611,0204,2977,257665,5,2018-05-21
PLY-612,0204,4426,255429,5,2017-02-26
PLY-613,0204,3715,402069,5,2015-08-16
PLY-614,0205,2581,432663,5,2015-11-14
PLY-615,0205,4709,366650,5,2016-07-19
PLY-616,0205,4627,384780,5,2017-06-12
PLY-617,0206,4928,428200,5,2016-07-25
PLY-618,0206,3013,282060,5,2016-07-16
PLY-619,0206,4885,441606,5,2015-07-31
PLY-620,0207,2990,342079,5,2018-01-18
PLY-621,0207,2929,306424,5,2017-06-18
PLY-622,0207,2136,324727,5,2017-05-25
PLY-623,0208,4313,415558,5,2017-03-24
PLY-624,0208,3665,279651,5,2016-05-26
PLY-625,0208,3262,277832,5,2017-06-06
PLY-626,0209,4621,327607,5,2018-03-17
PLY-627,0209,4099,448813,5,2017-10-09
PLY-628,0209,4527,491098,5,2017-01-01
PLY-629,0210,4476,375856,5,2016-11-05
PLY-630,0210,2639,480844,5,2016-01-18
PLY-631,0210,3712,372160,5,2018-03-13
PLY-632,0211,2442,293669,5,2016-07-19
PLY-633,0211,3536,388430,5,2016-03-28
PLY-634,0211,2163,460849,5,2017-08-03
PLY-635,0212,2958,258643,5,2016-01-31
PLY-636,0212,3300,283564,5,2015-01-07
PLY-637,0212,3280,374696,5,2018-02-26
PLY-638,0213,3783,340566,5,2015-03-26
PLY-639,0213,2782,389590,5,2015-01-05
PLY-640,0213,3581,427635,5,2017-08-15
PLY-641,0214,4025,358299,5,2015-05-23
PLY-642,0214,4128,272155,5,2016-11-01
PLY-643,0214,3840,272510,5,2017-03-09
PLY-644,0215,3688,341765,5,2015-12-22
PLY-645,0215,4863,460596,5,2018-11-07
PLY-646,0215,3033,328368,5,2015-10-27
PLY-647,0216,4395,268004,5,2017-05-16
PLY-648,0216,4919,438562,5,2017-02-03
PLY-649,0216,4054,412707,5,2015-11-21
PLY-650,0217,2801,486722,5,2016-04-11
PLY-651,0217,2533,308601,5,2016-07-21
PLY-652,0217,2915,373029,5,2016-09-14
PLY-653,0218,2094,498202,5,2018-03-28
PLY-654,0218,3937,443669,5,2017-05-19
PLY-655,0218,3760,403848,5,2017-12-22
PLY-656,0219,4450,498500,5,2016-01-19
PLY-657,0219,3122,330746,5,2018-01-18
PLY-658,0219,4834,287272,5,2018-08-10
PLY-659,0220,3749,484086,5,2016-11-08
PLY-660,0220,4864,261157,5,2018-06-14
PLY-661,0220,4046,429241,5,2016-06-23
PLY-662,0221,2828,428115,5,2017-05-19
PLY-663,0221,2202,334610,5,2018-08-17
PLY-664,0221,2242,393550,5,2017-09-23
PLY-665,0222,2658,382811,5,2018-02-21
PLY-666,0222,4211,419967,5,2015-10-09
PLY-667,0222,4734,433847,5,2015-09-20
PLY-668,0223,2122,440984,5,2017-10-01
PLY-669,0223,2899,490811,5,2016-08-31
PLY-670,0223,2507,462277,5,2016-05-30
PLY-671,0224,3774,321953,5,2016-11-05
PLY-672,0224,4150,464679,5,2017-07-22
PLY-673,0224,2009,276238,5,2018-04-16
PLY-674,0225,3739,405485,5,2017-09-27
PLY-675,0225,2446,313332,5,2016-11-23
PLY-676,0225,2840,310296,5,2017-02-26
PLY-677,0226,4392,293142,5,2018-12-18
PLY-678,0226,2788,480098,5,2017-07-28
PLY-679,0226,3102,482071,5,2017-10-23
PLY-680,0227,3350,440925,5,2018-08-05
PLY-681,0227,3007,469288,5,2017-07-09
PLY-682,0227,4312,378146,5,2018-09-01
PLY-683,0228,4892,424862,5,2016-12-11
PLY-684,0228,4869,478866,5,2015-10-15
PLY-685,0228,2249,355812,5,2015-04-15
PLY-686,0229,4331,263275,5,2018-07-22
PLY-687,0229,3274,413917,5,2016-01-30
PLY-688,0229,2122,479111,5,2015-06-23
PLY-689,0230,3643,289662,5,2017-04-30
PLY-690,0230,4716,497926,5,2015-01-12
PLY-691,0230,2378,314337,5,2015-09-15
PLY-692,0231,4438,433978,5,2016-09-29
PLY-693,0231,4334,290861,5,2016-07-05
PLY-694,0231,4704,379707,5,2015-02-14
PLY-695,0232,2691,320975,5,2017-08-08
PLY-696,0232,3376,319060,5,2018-10-27
PLY-697,0232,4559,276265,5,2015-12-27
PLY-698,0233,2306,415802,5,2018-11-17
PLY-699,0233,4767,476060,5,2017-01-16
PLY-700,0233,2204,487842,5,2016-07-05
PLY-701,0234,3982,413444,5,2016-02-29
PLY-702,0234,4326,455058,5,2016-08-07
PLY-703,0234,2333,279528,5,2017-01-23
PLY-704,0235,3763,499901,5,2016-01-29
PLY-705,0235,4541,313866,5,2015-12-08
PLY-706,0235,3198,319392,5,2018-09-07
PLY-707,0236,2963,381470,5,2015-10-21
PLY-708,0236,4701,321897,5,2015-12-18
PLY-709,0236,2299,421790,5,2017-08-17
PLY-710,0237,4963,483293,5,2018-09-21
PLY-711,0237,2634,315882,5,2015-12-01
PLY-712,0237,4077,314179,5,2017-11-28
PLY-713,0238,2624,325753,5,2016-10-29
PLY-714,0238,2357,404851,5,2018-07-24
PLY-715,0238,4075,441587,5,2018-07-31
PLY-716,0239,3311,401071,5,2017-02-17
PLY-717,0239,3634,456450,5,2016-09-08
PLY-718,0239,4411,439752,5,2016-01-26
PLY-719,0240,2104,439413,5,2018-06-16
PLY-720,0240,2371,261988,5,2017-07-05
PLY-721,0240,4104,314574,5,2015-08-19
PLY-722,0241,4427,425199,5,2018-04-10
PLY-723,0241,4139,320207,5,2017-07-16
PLY-724,0241,2947,434502,5,2018-11-05
PLY-725,0242,2022,410001,5,2018-04-20
PLY-726,0242,2500,478495,5,2015-09-02
PLY-727,0242,4536,355089,5,2017-10-04
PLY-728,0243,2553,269499,5,2018-06-22
PLY-729,0243,4371,326374,5,2015-09-13
PLY-730,0243,2283,428719,5,2015-03-17
PLY-731,0244,2820,337265,5,2016-08-30
PLY-732,0244,2183,495139,5,2018-05-25
PLY-733,0244,3403,490010,5,2017-11-06
PLY-734,0245,3073,374187,5,2015-09-30
PLY-735,0245,3741,390966,5,2015-05-09
PLY-736,0245,2556,380264,5,2018-03-30
PLY-737,0246,3390,373357,5,2015-08-02
PLY-738,0246,3577,360912,5,2018-11-28
PLY-739,0246,3759,465345,5,2016-04-16
PLY-740,0247,2852,334210,5,2015-08-19
PLY-741,0247,4816,347194,5,2016-01-19
PLY-742,0247,3747,359176,5,2018-04-27
PLY-743,0248,2058,291166,5,2018-04-02
PLY-744,0248,3118,296196,5,2018-02-13
PLY-745,0248,4515,448701,5,2017-10-24
PLY-746,0249,4390,453208,5,2018-08-22
PLY-747,0249,2476,434575,5,2016-04-05
PLY-748,0249,3933,479393,5,2015-08-22
PLY-749,0250,4488,387131,5,2016-10-23
PLY-750,0250,3843,488196,5,2018-01-28
PLY-751,0250,2477,465007,5,2018-11-25
PLY-752,0251,3562,385332,5,2015-02-22
PLY-753,0251,2732,483035,5,2015-11-09
PLY-754,0251,4618,364544,5,2016-05-29
PLY-755,0252,4796,495826,5,2015-06-29
PLY-756,0252,3277,399874,5,2017-06-26
PLY-757,0252,3266,342780,5,2016-11-30
PLY-758,0253,3144,472514,5,2018-10-08
PLY-759,0253,4639,397522,5,2017-08-24
PLY-760,0253,4560,332427,5,2015-02-24
PLY-761,0254,4349,250472,5,2018-12-16
PLY-762,0254,2923,265214,5,2015-11-02
PLY-763,0254,4555,311182,5,2017-11-02
PLY-764,0255,2448,431038,5,2018-09-08
PLY-765,0255,2564,333636,5,2017-02-19
PLY-766,0255,4947,374010,5,2017-02-12
PLY-767,0256,3077,416862,5,2015-09-23
PLY-768,0256,4200,400394,5,2017-06-07
PLY-769,0256,2948,475534,5,2016-04-23
PLY-770,0257,3180,492984,5,2018-10-23
PLY-771,0257,2802,432764,5,2015-12-07
PLY-772,0257,3639,404194,5,2015-05-13
PLY-773,0258,3573,435406,5,2018-06-24
PLY-774,0258,2693,496782,5,2015-06-25
PLY-775,0258,2062,451150,5,2018-10-20
PLY-776,0259,2805,497647,5,2015-04-11
PLY-777,0259,4168,349458,5,2015-12-27
PLY-778,0259,4122,303348,5,2018-09-20
PLY-779,0260,3407,416906,5,2016-07-04
PLY-780,0260,2910,479821,5,2018-03-02
PLY-781,0260,4927,378918,5,2015-08-10
PLY-782,0261,4158,334685,5,2016-10-22
PLY-783,0261,2556,321110,5,2017-09-08
PLY-784,0261,3302,450074,5,2018-02-20
PLY-785,0262,4644,368619,5,2015-07-03
PLY-786,0262,4686,295438,5,2017-01-14
PLY-787,0262,4021,493736,5,2015-12-28
PLY-788,0263,2721,325350,5,2018-01-08
PLY-789,0263,3478,266254,5,2016-05-25
PLY-790,0263,4446,311882,5,2016-02-08
PLY-791,0264,4484,400267,5,2016-03-22
PLY-792,0264,4845,349856,5,2016-08-05
PLY-793,0264,3085,400951,5,2015-03-01
PLY-794,0265,2739,290701,5,2017-11-19
PLY-795,0265,2772,388723,5,2016-06-28
PLY-796,0265,3210,446176,5,2016-09-28
PLY-797,0266,2724,254401,5,2017-12-21
PLY-798,0266,3800,458654,5,2015-08-23
PLY-799,0266,3216,390835,5,2017-05-12
PLY-800,0267,4719,430411,5,2018-09-29
PLY-801,0267,3624,285415,5,2018-01-15
PLY-802,0267,2090,386815,5,2017-09-12
PLY-803,0268,4097,303349,5,2015-11-20
PLY-804,0268,2091,427454,5,2018-10-14
PLY-805,0268,2572,302898,5,2018-04-12
PLY-806,0269,2391,479937,5,2017-06-02
PLY-807,0269,2770,296974,5,2018-01-06
PLY-808,0269,2098,328388,5,2018-03-15
PLY-809,0270,2209,394974,5,2018-06-19
PLY-810,0270,4801,293542,5,2016-10-29
PLY-811,0270,4449,483944,5,2015-08-10
PLY-812,0271,3822,294620,5,2017-11-30
PLY-813,0271,2538,290550,5,2016-02-16
PLY-814,0271,2229,251448,5,2017-04-14
PLY-815,0272,3315,448737,5,2015-05-16
PLY-816,0272,3745,384207,5,2017-06-30
PLY-817,0272,3398,415688,5,2018-01-25
PLY-818,0273,2865,494638,5,2017-02-11
PLY-819,0273,3135,491171,5,2016-07-31
PLY-820,0273,4084,458579,5,2017-12-28
PLY-821,0274,3415,457768,5,2015-07-25
PLY-822,0274,2247,363920,5,2018-02-20
PLY-823,0274,3392,271025,5,2015-04-19
PLY-824,0275,2776,317038,5,2016-07-26
PLY-825,0275,2259,417166,5,2015-09-03
PLY-826,0275,2682,448112,5,2017-11-26
PLY-827,0276,3770,412720,5,2018-07-17
PLY-828,0276,2525,470371,5,2018-02-11
PLY-829,0276,3031,297260,5,2016-04-06
PLY-830,0277,2053,367648,5,2017-11-28
PLY-831,0277,2895,387788,5,2015-05-09
PLY-832,0277,3963,487554,5,2017-08-05
PLY-833,0278,4418,343445,5,2016-11-25
PLY-834,0278,4364,349136,5,2018-06-25
PLY-835,0278,3011,468403,5,2016-01-16
PLY-836,0279,4874,475068,5,2015-01-18
PLY-837,0279,3313,255710,5,2015-02-27
PLY-838,0279,3230,447449,5,2018-09-21
PLY-839,0280,4295,368540,5,2017-03-02
PLY-840,0280,2822,372262,5,2017-11-26
PLY-841,0280,3116,459334,5,2016-05-18
PLY-842,0281,2949,326285,5,2015-06-06
PLY-843,0281,4632,465714,5,2017-12-16
PLY-844,0281,2206,280991,5,2015-02-06
PLY-845,0282,3742,475776,5,2018-10-24
PLY-846,0282,4717,467442,5,2016-11-25
PLY-847,0282,4382,344098,5,2017-05-21
PLY-848,0283,3291,349125,5,2015-11-20
PLY-849,0283,2652,316522,5,2016-09-07
PLY-850,0283,2440,292075,5,2016-04-20
PLY-851,0284,4974,368016,5,2018-03-31
PLY-852,0284,3980,416368,5,2015-11-14
PLY-853,0284,3629,265070,5,2018-10-29
PLY-854,0285,4924,346878,5,2017-04-22
PLY-855,0285,2673,384485,5,2018-02-17
PLY-856,0285,3667,361319,5,2018-02-23
PLY-857,0286,3079,344688,5,2016-03-26
PLY-858,0286,3309,288011,5,2015-03-31
PLY-859,0286,3478,495727,5,2016-07-23
PLY-860,0287,4666,409453,5,2018-10-07
PLY-861,0287,3999,482450,5,2017-10-05
PLY-862,0287,2137,421017,5,2015-05-30
PLY-863,0288,3808,394608,5,2018-10-24
PLY-864,0288,4593,287133,5,2018-09-23
PLY-865,0288,2348,389831,5,2015-02-08
PLY-866,0289,2517,465256,5,2015-06-23
PLY-867,0289,4756,382945,5,2016-10-21
PLY-868,0289,2309,377031,5,2016-09-30
PLY-869,0290,4440,345744,5,2018-01-20
PLY-870,0290,3573,354991,5,2018-04-14
PLY-871,0290,3072,272071,5,2015-11-11
PLY-872,0291,4960,336141,5,2016-02-25
PLY-873,0291,4691,439031,5,2016-03-16
PLY-874,0291,4115,447148,5,2016-09-19
PLY-875,0292,2112,354435,5,2018-06-05
PLY-876,0292,2341,412564,5,2016-03-30
PLY-877,0292,2076,285932,5,2018-07-23
PLY-878,0293,4281,328480,5,2016-12-25
PLY-879,0293,3978,407557,5,2016-08-04
PLY-880,0293,2559,498427,5,2016-02-13
PLY-881,0294,3581,437047,5,2016-08-14
PLY-882,0294,4081,270559,5,2018-11-07
PLY-883,0294,3980,329182,5,2017-06-13
PLY-884,0295,3188,347945,5,2018-07-08
PLY-885,0295,3641,496234,5,2018-05-16
PLY-886,0295,4906,316819,5,2017-09-01
PLY-887,0296,4937,385661,5,2017-03-27
PLY-888,0296,3078,300723,5,2016-03-07
PLY-889,0296,2539,411844,5,2017-01-17
PLY-890,0297,2876,385443,5,2015-02-19
PLY-891,0297,2244,451891,5,2016-10-19
PLY-892,0297,4225,444024,5,2017-07-14
PLY-893,0298,4790,259278,5,2017-08-27
PLY-894,0298,4519,272557,5,2015-08-01
PLY-895,0298,3962,425732,5,2015-07-22
PLY-896,0299,4709,491420,5,2016-12-21
PLY-897,0299,4270,375276,5,2017-04-10
PLY-898,0299,3346,484612,5,2018-07-27
PLY-899,0300,4560,391592,5,2017-08-07
PLY-900,0300,3282,253385,5,2015-06-07
PLY-901,0300,4176,472300,5,2017-07-10
PLY-902,0301,2721,267955,5,2016-06-18
PLY-903,0301,3207,368279,5,2015-05-17
PLY-904,0301,3396,276880,5,2016-07-09
PLY-905,0302,4901,292556,5,2015-10-08
PLY-906,0302,2472,260433,5,2015-10-20
PLY-907,0302,3716,252878,5,2018-08-17
PLY-908,0303,2463,293167,5,2018-03-10
PLY-909,0303,4831,374342,5,2018-11-10
PLY-910,0303,2829,298458,5,2017-11-01
PLY-911,0304,2440,410046,5,2017-01-30
PLY-912,0304,4503,302430,5,2018-11-17
PLY-913,0304,3763,338396,5,2018-10-15
PLY-914,0305,4466,260682,5,2018-05-10
PLY-915,0305,3951,429940,5,2015-02-23
PLY-916,0305,2828,253339,5,2016-04-28
PLY-917,0306,4011,497022,5,2018-02-07
PLY-918,0306,3422,369929,5,2018-07-13
PLY-919,0306,2758,414582,5,2015-09-20
PLY-920,0307,3717,471531,5,2015-06-23
PLY-921,0307,2640,370888,5,2018-04-19
PLY-922,0307,4493,250511,5,2017-11-05
PLY-923,0308,4939,287241,5,2017-03-14
PLY-924,0308,3922,438788,5,2016-02-13
PLY-925,0308,4020,329781,5,2017-01-31
PLY-926,0309,4908,267679,5,2016-09-03
PLY-927,0309,2585,432114,5,2015-04-19
PLY-928,0309,3949,479531,5,2015-05-06
PLY-929,0310,2193,461099,5,2015-11-23
PLY-930,0310,3070,459851,5,2018-08-03
PLY-931,0310,4784,315574,5,2017-05-28
PLY-932,0311,2963,286295,5,2016-01-31
PLY-933,0311,4398,396448,5,2017-05-23
PLY-934,0311,2175,422831,5,2017-03-29
PLY-935,0312,2531,301821,5,2015-12-01
PLY-936,0312,3284,301808,5,2016-07-07
PLY-937,0312,2924,412263,5,2015-03-20
PLY-938,0313,2894,362300,5,2018-03-06
PLY-939,0313,4253,382160,5,2017-06-19
PLY-940,0313,2010,269081,5,2018-11-10
PLY-941,0314,2042,393306,5,2017-08-28
PLY-942,0314,2553,250269,5,2015-10-24
PLY-943,0314,2213,312647,5,2017-02-27
PLY-944,0315,2016,385404,5,2017-01-04
PLY-945,0315,3806,483904,5,2018-06-08
PLY-946,0315,3256,439297,5,2018-08-31
PLY-947,0316,2973,250488,5,2017-11-26
PLY-948,0316,2606,270904,5,2016-05-20
PLY-949,0316,3799,336620,5,2016-09-03
PLY-950,0317,4736,306102,5,2018-10-21
PLY-951,0317,2727,270408,5,2016-12-25
PLY-952,0317,4402,356441,5,2015-02-28
PLY-953,0318,4235,419426,5,2016-12-06
PLY-954,0318,3562,437599,5,2017-01-15
PLY-955,0318,4917,419085,5,2015-05-20
PLY-956,0319,4049,419767,5,2017-02-23
PLY-957,0319,3294,280131,5,2016-03-19
PLY-958,0319,2432,445422,5,2015-05-17
PLY-959,0320,3400,463746,5,2017-05-15
PLY-960,0320,4194,431411,5,2015-06-25
PLY-961,0320,3608,426011,5,2015-10-20
PLY-962,0321,2977,403349,5,2017-06-22
PLY-963,0321,2429,252170,5,2015-08-15
PLY-964,0321,4344,492793,5,2018-03-09
PLY-965,0322,3999,479623,5,2018-02-02
PLY-966,0322,3766,463736,5,2018-03-26
PLY-967,0322,2395,292493,5,2018-04-04
PLY-968,0323,2209,475518,5,2017-02-20
PLY-969,0323,3928,379725,5,2017-03-20
PLY-970,0323,4571,274970,5,2015-06-22
PLY-971,0324,3099,494975,5,2016-09-11
PLY-972,0324,2340,350560,5,2017-08-10
PLY-973,0324,3743,492879,5,2016-10-27
PLY-974,0325,4755,343180,5,2018-03-28
PLY-975,0325,4184,469986,5,2018-03-30
PLY-976,0325,4869,376699,5,2015-09-28
PLY-977,0326,4805,294646,5,2018-05-19
PLY-978,0326,3088,460552,5,2015-06-23
PLY-979,0326,2279,411360,5,2018-04-24
PLY-980,0327,3409,399913,5,2015-01-20
PLY-981,0327,4628,305498,5,2017-01-10
PLY-982,0327,3073,283169,5,2015-02-20
PLY-983,0328,2669,301844,5,2016-05-09
PLY-984,0328,3135,433526,5,2016-05-15
PLY-985,0328,3371,269351,5,2018-09-14
PLY-986,0329,2556,459387,5,2018-09-08
PLY-987,0329,3375,267595,5,2017-03-27
PLY-988,0329,4587,396639,5,2016-09-19
PLY-989,0330,4621,265556,5,2015-11-15
PLY-990,0330,4194,311913,5,2015-04-29
PLY-991,0330,4801,311389,5,2015-05-19
PLY-992,0331,3830,437503,5,2018-09-26
PLY-993,0331,4659,285836,5,2016-06-09
PLY-994,0331,2192,282313,5,2015-08-31
PLY-995,0332,3617,294549,5,2016-10-02
PLY-996,0332,4397,470272,5,2017-04-30
PLY-997,0332,4764,481009,5,2016-10-13
PLY-998,0333,2231,497714,5,2017-09-16
PLY-999,0333,2639,407915,5,2018-08-20
PLY-1000,0333,3433,487417,5,2016-06-10
PLY-1001,0334,4668,480208,5,2017-05-08
PLY-1002,0334,4543,282847,5,2016-06-08
PLY-1003,0334,3527,272238,5,2017-01-09
PLY-1004,0335,3117,442478,5,2016-12-12
PLY-1005,0335,4268,481097,5,2015-01-21
PLY-1006,0335,2597,462066,5,2017-07-18
PLY-1007,0336,4826,405871,5,2016-07-18
PLY-1008,0336,2765,250697,5,2016-09-27
PLY-1009,0336,3472,263818,5,2018-09-14
PLY-1010,0337,4156,267469,5,2018-01-27
PLY-1011,0337,2420,482374,5,2018-12-22
PLY-1012,0337,3211,301250,5,2015-06-15
PLY-1013,0338,4004,341716,5,2018-11-22
PLY-1014,0338,3179,274093,5,2016-05-05
PLY-1015,0338,2657,268268,5,2015-09-23
PLY-1016,0339,2118,381159,5,2017-09-29
PLY-1017,0339,2298,258869,5,2018-11-19
PLY-1018,0339,2204,471757,5,2017-09-26
PLY-1019,0340,2610,279340,5,2017-02-20
PLY-1020,0340,4035,409491,5,2018-03-03
PLY-1021,0340,4725,354428,5,2018-11-23
PLY-1022,0341,3879,393544,5,2015-03-14
PLY-1023,0341,4000,256639,5,2016-09-06
PLY-1024,0341,2123,376912,5,2015-10-19
PLY-1025,0342,2991,265786,5,2015-07-06
PLY-1026,0342,3298,427545,5,2017-07-20
PLY-1027,0342,3289,318520,5,2017-02-22
PLY-1028,0343,3466,460032,5,2016-02-11
PLY-1029,0343,2345,485835,5,2018-06-19
PLY-1030,0343,3088,341622,5,2018-12-06
PLY-1031,0344,3421,482952,5,2017-04-29
PLY-1032,0344,4096,478586,5,2015-03-23
PLY-1033,0344,3644,277902,5,2017-11-15
PLY-1034,0345,4012,419171,5,2016-01-06
PLY-1035,0345,3599,269478,5,2016-04-06
PLY-1036,0345,2424,359349,5,2016-12-09
PLY-1037,0346,4775,420086,5,2015-08-11
PLY-1038,0346,4306,485900,5,2016-03-16
PLY-1039,0346,2528,290090,5,2017-11-01
PLY-1040,0347,2814,415580,5,2017-03-27
PLY-1041,0347,2884,421251,5,2018-08-20
PLY-1042,0347,2761,297177,5,2018-09-20
PLY-1043,0348,4474,288468,5,2017-03-20
PLY-1044,0348,4929,323666,5,2015-07-13
PLY-1045,0348,3900,280506,5,2015-10-24
PLY-1046,0349,4734,389996,5,2016-05-10
PLY-1047,0349,3660,288824,5,2016-11-22
PLY-1048,0349,3136,456602,5,2017-09-01
PLY-1049,0350,2489,322340,5,2018-06-20
PLY-1050,0350,3345,290022,5,2018-10-19
PLY-1051,0350,2515,314374,5,2018-11-05
PLY-1052,0351,3339,285496,5,2018-04-03
PLY-1053,0351,3052,400833,5,2017-07-14
PLY-1054,0351,2817,291895,5,2017-08-27
PLY-1055,0352,2879,358697,5,2018-01-20
PLY-1056,0352,3134,428934,5,2015-07-20
PLY-1057,0352,2265,420500,5,2015-05-28
PLY-1058,0353,4452,406248,5,2018-09-10
PLY-1059,0353,4013,347019,5,2016-11-20
PLY-1060,0353,3919,270027,5,2016-08-04
PLY-1061,0354,4210,251469,5,2017-08-22
PLY-1062,0354,2909,445600,5,2016-09-16
PLY-1063,0354,4653,280284,5,2018-08-20
PLY-1064,0355,2110,339331,5,2018-02-08
PLY-1065,0355,3045,484230,5,2015-06-12
PLY-1066,0355,3921,425610,5,2016-01-30
PLY-1067,0356,4537,426389,5,2016-10-21
PLY-1068,0356,3658,284609,5,2017-11-20
PLY-1069,0356,4977,424299,5,2016-02-24
PLY-1070,0357,3905,400677,5,2017-07-14
PLY-1071,0357,4173,428564,5,2018-12-24
PLY-1072,0357,2188,300567,5,2015-04-17
PLY-1073,0358,4593,389970,5,2016-07-21
PLY-1074,0358,2349,299459,5,2017-12-18
PLY-1075,0358,2794,252423,5,2018-03-23
PLY-1076,0359,2218,467130,5,2018-02-06
PLY-1077,0359,2414,403372,5,2015-05-11
PLY-1078,0359,2519,402364,5,2018-06-10
PLY-1079,0360,4500,493499,5,2016-07-21
PLY-1080,0360,2941,300053,5,2015-12-09
PLY-1081,0360,3071,383118,5,2017-02-24
PLY-1082,0361,2589,280105,5,2016-12-15
PLY-1083,0361,3790,423684,5,2017-07-06
PLY-1084,0361,4659,392063,5,2015-01-31
PLY-1085,0362,4970,455406,5,2015-11-26
PLY-1086,0362,2873,276882,5,2016-09-23
PLY-1087,0362,3122,332427,5,2018-01-15
PLY-1088,0363,3515,265141,5,2018-01-01
PLY-1089,0363,4348,405300,5,2017-11-01
PLY-1090,0363,3517,255907,5,2015-09-04
PLY-1091,0364,3543,269899,5,2017-07-17
PLY-1092,0364,4980,482886,5,2016-02-01
PLY-1093,0364,4708,397884,5,2016-03-23
PLY-1094,0365,2806,277718,5,2018-08-01
PLY-1095,0365,4698,397440,5,2018-01-14
PLY-1096,0365,3867,277084,5,2017-12-13
PLY-1097,0366,3721,417484,5,2015-08-07
PLY-1098,0366,3548,321534,5,2018-11-23
PLY-1099,0366,3619,382634,5,2015-01-23
PLY-1100,0367,4087,326293,5,2017-07-03
PLY-1101,0367,4813,445478,5,2017-03-14
PLY-1102,0367,3028,464943,5,2017-02-06
PLY-1103,0368,4191,424859,5,2018-08-01
PLY-1104,0368,4945,285569,5,2018-03-02
PLY-1105,0368,4680,332604,5,2015-01-17
PLY-1106,0369,4567,266631,5,2017-01-29
PLY-1107,0369,4875,264802,5,2017-01-19
PLY-1108,0369,3832,363175,5,2016-07-29
PLY-1109,0370,2823,437457,5,2017-03-20
PLY-1110,0370,2270,284677,5,2016-10-15
PLY-1111,0370,4162,407920,5,2017-08-10
PLY-1112,0371,4474,378203,5,2017-02-09
PLY-1113,0371,3699,490222,5,2016-08-12
PLY-1114,0371,3174,340836,5,2016-02-04
PLY-1115,0372,2862,436639,5,2017-02-22
PLY-1116,0372,3657,378192,5,2015-07-06
PLY-1117,0372,4948,372831,5,2017-04-01
PLY-1118,0373,3987,288537,5,2017-05-18
PLY-1119,0373,3223,300905,5,2016-02-14
PLY-1120,0373,2284,296603,5,2016-02-05
PLY-1121,0374,4371,359748,5,2015-01-08
PLY-1122,0374,3552,441288,5,2016-11-05
PLY-1123,0374,4738,410100,5,2017-06-14
PLY-1124,0375,2843,350374,5,2018-12-31
PLY-1125,0375,3926,310677,5,2015-04-23
PLY-1126,0375,2528,352138,5,2015-11-23
PLY-1127,0376,2544,329496,5,2017-04-26
PLY-1128,0376,4879,373429,5,2015-03-30
PLY-1129,0376,4866,419320,5,2017-12-17
PLY-1130,0377,3701,336609,5,2017-10-30
PLY-1131,0377,2769,346178,5,2017-10-03
PLY-1132,0377,2901,274272,5,2017-02-23
PLY-1133,0378,4995,250261,5,2015-02-17
PLY-1134,0378,3762,302460,5,2015-12-28
PLY-1135,0378,4126,334596,5,2017-10-21
PLY-1136,0379,3070,350216,5,2017-01-06
PLY-1137,0379,4925,387852,5,2017-11-24
PLY-1138,0379,3298,433402,5,2015-06-07
PLY-1139,0380,2563,489195,5,2017-02-23
PLY-1140,0380,2496,422215,5,2015-06-28
PLY-1141,0380,3174,379645,5,2015-04-01
PLY-1142,0381,2015,331455,5,2016-05-19
PLY-1143,0381,3397,456872,5,2016-02-13
PLY-1144,0381,2283,383312,5,2018-07-01
PLY-1145,0382,3376,487824,5,2017-08-02
PLY-1146,0382,3144,455214,5,2015-01-24
PLY-1147,0382,4250,463408,5,2017-11-08
PLY-1148,0383,4089,362941,5,2015-10-27
PLY-1149,0383,2251,415601,5,2016-07-25
PLY-1150,0383,3994,490253,5,2015-08-03
PLY-1151,0384,3900,499026,5,2018-09-13
PLY-1152,0384,4257,375111,5,2015-11-21
PLY-1153,0384,3279,328778,5,2015-06-25
PLY-1154,0385,2666,449069,5,2017-05-12
PLY-1155,0385,2630,485685,5,2015-04-27
PLY-1156,0385,2336,490901,5,2015-03-11
PLY-1157,0386,4341,334681,5,2018-09-20
PLY-1158,0386,3527,463900,5,2016-10-19
PLY-1159,0386,3110,374012,5,2015-12-15
PLY-1160,0387,2456,303937,5,2017-09-08
PLY-1161,0387,4252,429027,5,2018-06-26
PLY-1162,0387,2465,350199,5,2017-12-15
PLY-1163,0388,4584,326758,5,2018-04-30
PLY-1164,0388,2429,333325,5,2018-01-09
PLY-1165,0388,2270,389106,5,2016-10-22
PLY-1166,0389,3923,450191,5,2015-12-30
PLY-1167,0389,3877,464051,5,2018-02-28
PLY-1168,0389,2802,350591,5,2016-12-08
